item_code,item_description,item_type,total_sales,liquor_type
335718,CHIVAS EXTRA - 750ML,LIQUOR,49.5,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,72.45,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,56.56,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,22.35,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,20.62,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,27.82,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,45.93,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,19.66,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,18,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,17.32,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,23.19,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,81.26,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,23.04,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,81.95,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,21.02,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,70.17,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,20.7,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,65.41,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,18.31,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,83.49,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,15.92,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,13.9,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,12.91,WHISKY
335718,CHIVAS EXTRA - 750ML,LIQUOR,15.08,WHISKY
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.8,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.64,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.64,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.72,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.48,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.64,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,2.01,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.81,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,1.37,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.57,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.33,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.17,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.17,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.33,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.08,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.08,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.72,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.16,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.08,VODKA
335723,LEAF ORGANIC VODKA GLACIAL - 750ML,LIQUOR,0.08,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.24,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.64,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.65,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.16,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.48,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.48,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,2.01,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,1.53,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.98,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.24,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.08,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0.08,VODKA
335725,LEAF ORGANIC VODKA ROCKY MOUNTAIN - 750ML,LIQUOR,0,VODKA
335731,PRICHARD'S SWEET LUCY BOURBON LIQUEUR - 750ML,LIQUOR,0.34,WHISKY
335731,PRICHARD'S SWEET LUCY BOURBON LIQUEUR - 750ML,LIQUOR,0.17,WHISKY
